season	contestant	age	dob	ethnic1	ethnic2	hometown
S07	Tempest DuJour	46	09/01/67			"Tucson, Arizona"
S08	Bob the Drag Queen	29	06/22/86			"Brooklyn, New York"
S08	Kim Chi	27	08/08/87			"Chicago, Illinois"
S08	Naomi Smalls	21	09/08/93			"Redlands, California"
S08	Chi Chi DeVayne[k]	30	09/24/85			"Shreveport, Louisiana"
S08	Derrick Barry	32	07/18/83			"Las Vegas, Nevada"
S08	Thorgy Thor	31	05/25/84			"Brooklyn, New York"
S08	Robbie Turner	33	07/27/82			"Seattle, Washington"
S08	Acid Betty	37	12/10/77			"Brooklyn, New York"
S08	Naysha Lopez	31	06/20/85			"Chicago, Illinois"
S08	Cynthia Lee Fontaine	34	02/16/81			"Austin, Texas"
S08	Dax ExclamationPoint	31	07/29/84			"Savannah, Georgia"
S08	Laila McQueen	22	06/22/83			"Gloucester, Massachusetts"
S09	Sasha Velour	29	06/25/87			"Brooklyn, New York"
S09	Peppermint	37	01/31/80			"New York, New York"
S09	Shea Couleé	27	02/08/89			"Chicago, Illinois"
S09	Trinity Taylor	31	12/10/84			"Orlando, Florida"
S09	Alexis Michelle	33	10/16/84			"New York, New York"
S09	Nina Bo'nina Brown	34	07/12/82			"Atlanta, Georgia"
S09	Valentina	25	05/14/91			"Los Angeles, California"
S09	Farrah Moan	23	09/11/93			"Las Vegas, Nevada"
S09	Aja	22	01/04/94			"Brooklyn, New York"
S09	Cynthia Lee Fontaine	34	02/16/81			"Austin, Texas"
S09	Eureka O'Hara	25	08/26/90			"Johnson City, Tennessee"
S09	Charlie Hides	52	07/12/64			"London, UK/ Boston, Massachusetts"
S09	Kimora Blac	28	12/15/88			"Las Vegas, Nevada"
S09	Jaymes Mansfield	26	02/19/90			"Madison, Wisconsin"
S10	Aquaria	21	02/12/96			"Brooklyn, New York"
S10	Eureka O'Hara	27	08/26/90			"Johnson City, Tennessee"
S10	Kameron Michaels	31	07/23/86			"Nashville, Tennessee"
S10	Asia O'Hara	35	07/07/82			"Dallas, Texas"
S10	Miz Cracker	33	04/19/84			"Harlem, New York"
S10	Monét X Change	31	03/23/90			"The Bronx, New York"
S10	The Vixen	26	12/11/90			"Chicago, Illinois"
S10	Monique Heart	27	05/22/86			"Kansas City, Missouri"
S10	Blair St. Clair	22	05/16/95			"Indianapolis, Indiana"
S10	Mayhem Miller	35	02/09/82			"Riverside, California"
S10	Dusty Ray Bottoms	29	09/27/87			"New York, New York"
S10	Yuhua Hamasaki	27	03/01/90			"New York, New York"
S10	Kalorie Karbdashian Williams	27	05/23/90			"Albuquerque, New Mexico"
S10	Vanessa Vanjie Mateo	25	10/03/91			"Tampa, Florida"
